"","hashtags","Freq"
"1","Virus",0.00147126608799761
"2","China",0.00134704180385114
"3","C",0.000833148757856929
"4","lockdown",0.000711593335328744
"5","BREAKING",0.000609892247829991
"6","ー19",0.000587633443080914
"7","StayHome",0.000556450164621371
"8","IndiaFights",0.000511688117330141
"9","SocialDistancing",0.00050050384116532
"10","Iran",0.000484016761448668
"11","Pandemic",0.000474264192357578
"12","ChineseVirus",0.000433916990920882
"13","Trump",0.00042668861618278
"14","Wuhan",0.000426558914496658
"15","India",0.000421869699690711
"16","Hydroxychloroquine",0.000390965778708969
"17","TogetherAtHome",0.000365718846652699
"18","1",0.000344876783398184
"19","CO",0.000341020652499252
"20","WorldHealthDay",0.000337643420133693
"21","COV",0.000322752668861618
"22","StayatHome",0.00031442182979148
"23","Health",0.00031269579966078
"24","Lockdown",0.000310994712162027
"25","Taiwan",0.000309767534670258
"26","v",0.000304424822907313
"27","WATCH",0.000300977751172304
"28","COVI",0.000298608201137384
"29","WHO",0.000285872493265489
"30","NHS",0.000283936945026439
"31","PPE",0.000271754963583757
"32","SelfQuarantine",0.000270652499251721
"33","Hygiene",0.000270108749875287
"34","FlatteningtheCurve",0.000268891549436297
"35","TablighiJamaat",0.000264646313478998
"36","StayAtHome",0.000261079517110646
"37","Outbreak",0.000256874189364462
"38","vir",0.000251316970966776
"39","pandemic",0.000248792776613788
"40","co",0.000246238651102464
"41","Chinas",0.000238671056569889
"42","SARSCoV2",0.000231946522997107
"43","StayHomeSaveLives",0.000212825501346902
"44","Nigeria",0.000208759852339619
"45","Chinese",0.000201855731816821
"46","2019",0.000189773520901926
"47","CCP",0.000183223585752769
"48","vi",0.000180065848548339
"49","US",0.00017389005287838
"50","viru",0.000173186670657488
"51","c",0.000160356180784196
"52","NYC",0.000158640127706276
"53","coro",0.000152888356779407
"54","Italy",0.0001479946123915
"55","cor",0.000144203332335628
"56","Odisha",0.000141549436296518
"57","USA",0.000134745086301507
"58","coron",0.000134181382819515
"59","CDC",0.00013371744986531
"60","Pakistan",0.000133238551331937
"61","UK",0.000131607303202634
"62","FakeNews",0.000128808739898234
"63","StaySafe",0.000127237354085603
"64","Africa",0.00012302703781303
"65","AprilFoolsDay",0.000122104160431009
"66","Co",0.000117005886461139
"67","NewYork",0.000112396488077422
"68","AI",0.000111698094382919
"69","WuhanVirus",0.000111443679537065
"70","CharlesLieber",0.000110680434999501
"71","stayhome",0.000110435997206425
"72","Canada",0.000110121720043899
"73","TablighiJamat",0.000109677741195251
"74","HongKong",0.00010760750274369
"75","Quarantine",0.000103706475107253
"76","vaccine",0.000101381821809837
"77","USNavy",0.000100329242741694
"78","Covid",9.92666866207722e-05
"79","Russia",9.92168013568792e-05
"80","Update",9.84635338720942e-05
"81","Germany",9.82390501845755e-05
"82","Turkey",9.79796468123316e-05
"83","5G",9.56649705676943e-05
"84","hydroxychloroquine",9.56450164621371e-05
"85","StayHom",9.54554524593435e-05
"86","Coron",9.51162326648708e-05
"87","BillGates",9.27367055771725e-05
"88","WorldHealthOrganization",9.20532774618378e-05
"89","Ramadan",9.19535069340517e-05
"90","DYK",9.12501247131597e-05
"91","PhysicalDistancing",9.01726030130699e-05
"92","covid",8.90451960490871e-05
"93","EU",8.88556320462935e-05
"94","Irans",8.87059762546144e-05
"95","Easter",8.76384316073032e-05
"96","VirusUpdates",8.61668163224583e-05
"97","lockdownextension",8.57627456849247e-05
"98","BorisJohnson",8.56081013668562e-05
"99","staysafe",8.30689414347002e-05
"100","QuarantineLife",8.2869400379128e-05
"101","Hydroxycloroquine",8.28494462735708e-05
"102","socialdistancing",8.16621769929163e-05
"103","France",8.0150653496957e-05
"104","Coro",8.00508829691709e-05
"105","ChinaVirus",8.00109747580565e-05
"106","mentalhealth",7.99760550733313e-05
"107","Lagos",7.94821909607902e-05
"108","EarthDay",7.81751970467924e-05
"109","Thailand",7.65090292327646e-05
"110","Thala",7.60750274368951e-05
"111","AlexJones",7.57158535368652e-05
"112","TrumpPressConf",7.55462436396289e-05
"113","Cor",7.50124713159733e-05
"114","Ohio",7.48478499451262e-05
"115","cdnpoli",7.44038710964781e-05
"116","PaycheckProtectionProgram",7.32465329741594e-05
"117","s",7.28175197046792e-05
"118","StayHomeStaySafe",7.2223885064352e-05
"119","health",7.19495161129402e-05
"120","healthcare",7.17599521101467e-05
"121","Florida",7.16452160031927e-05
"122","quarantine",7.1011673151751e-05
"123","Indian",6.98443579766537e-05
"124","N",6.9669759553028e-05
"125","FlattenTheCurve",6.84276164820912e-05
"126","CCPVirus",6.66167814027736e-05
"127","SaudiArabia",6.61927566596827e-05
"128","Japan",6.56041105457448e-05
"129","Cuba",6.55492367554624e-05
"130","Spain",6.54245235957298e-05
"131","auspol",6.51401775915395e-05
"132","Fauci",6.47311184276165e-05
"133","Brazil",6.47261299012272e-05
"134","TrumpOwnsEveryDeath",6.28504439788486e-05
"135","Kashmir",6.27806046093984e-05
"136","MAGA",6.23715454454754e-05
"137","Israel",6.21869699690711e-05
"138","TamilNadu",6.21271076523995e-05
"139","Warriors",6.13688516412252e-05
"140","VirusUpdate",6.09847351092487e-05
"141","lupus",6.08101366856231e-05
"142","ThalapathyVijay",6.0416043100868e-05
"143","Chi",6.02065249925172e-05
"144","Ajith",6.01416741494562e-05
"145","ClimateChange",6.00618577272274e-05
"146","ICYMI",5.99820413049985e-05
"147","UPDATE",5.9483188666068e-05
"148","Maharashtra",5.94482689813429e-05
"149","SouthKorea",5.94482689813429e-05
"150","china",5.93235558216103e-05
"151","WetMarkets",5.81263094881772e-05
"152","N95",5.7647410954804e-05
"153","Syria",5.70138681033623e-05
"154","GoodFriday",5.65848548338821e-05
"155","related",5.61458645116233e-05
"156","Wapo",5.55572183976853e-05
"157","Ahmedabad",5.49985034420832e-05
"158","medtwitter",5.46792377531677e-05
"159","HealthyAtHome",5.46692607003891e-05
"160","TaiwanCanHelp",5.45146163823207e-05
"161","Nizamuddin",5.44148458545346e-05
"162","Gujarat",5.4404868801756e-05
"163","lockdowneffect",5.43450064850843e-05
"164","SriLanka",5.42452359572982e-05
"165","uk",5.38511423725432e-05
"166","remdesivir",5.36466127905817e-05
"167","S",5.35119225780704e-05
"168","BreakingNews",5.29681732016362e-05
"169","RENTRELIEF",5.24443779307593e-05
"170","Panorama",5.2309687718248e-05
"171","NizamuddinMarkaz",5.2030330240447e-05
"172","Delhi",5.08480494861818e-05
"173","crisisBiden",5.06235657986631e-05
"174","Kerala",5.01646213708471e-05
"175","DogCatMeatTrade",4.99251721041604e-05
"176","ChinaLiedPeopleDied",4.97356081013669e-05
"177","NEW",4.97306195749776e-05
"178","Mumbai",4.88875586151851e-05
"179","Trumps",4.88276962985134e-05
"180","india",4.87279257707273e-05
"181","Telangana",4.82240846054076e-05
"182","AWANInews",4.73660580664472e-05
"183","ICU",4.70318267983638e-05
"184","masks",4.65828594233264e-05
"185","Breaking",4.6183777312182e-05
"186","Ontario",4.59842362566098e-05
"187","SARS",4.55901426718547e-05
"188","UAE",4.52409458246034e-05
"189","FireFauci",4.49765539259703e-05
"190","Lockdown2",4.43729422328644e-05
"191","Beijing",4.43629651800858e-05
"192","economy",4.43080913898034e-05
"193","EarthDay2020",4.35648009577971e-05
"194","Covi",4.3465030430011e-05
"195","covid1",4.33403172702784e-05
"196","Brexit",4.32754664272174e-05
"197","Venezuela",4.31258106355383e-05
"198","FakeScience",4.29811433702484e-05
"199","PMCARES",4.2876384316073e-05
"200","Democrats",4.24723136785394e-05
"201","Allunitedagainstcov",4.20931856729522e-05
"202","NY",4.20832086201736e-05
"203","MCO",4.18836675646014e-05
"204","InThisTogether",4.15644018756859e-05
"205","outbreak",4.14945625062357e-05
"206","Pelosi",4.14297116631747e-05
"207","NurseTwitte",4.10056869200838e-05
"208","Yemen",4.10006983936945e-05
"209","TrumpPlague",4.07412950214507e-05
"210","AndhraPradesh",4.06764441783897e-05
"211","JoeBiden",4.04270178589245e-05
"212","QAnon",4.02923276464132e-05
"213","Gaza",4.02823505936346e-05
"214","BTSArmy",3.97984635338721e-05
"215","Singapore",3.97435897435897e-05
"216","Rajasthan",3.95590142671855e-05
"217","BanYulin",3.93644617380026e-05
"218","trump",3.91300009977053e-05
"219","StrongerTogether",3.9060161628255e-05
"220","WashYourHands",3.89554025740796e-05
"221","LockdownSA",3.89005287837973e-05
"222","IOTS",3.888057467824e-05
"223","America",3.83867105656989e-05
"224","TrumpPressBriefing",3.83567794073631e-05
"225","IOT",3.8192158036516e-05
"226","AarogyaSetu",3.78828694003791e-05
"227","Sweden",3.78080415045396e-05
"228","lka",3.75685922378529e-05
"229","Crisis",3.74688217100668e-05
"230","Putin",3.74638331836775e-05
"231","DonaldTrump",3.74189364461738e-05
"232","Ireland",3.73091888656091e-05
"233","HealthcareHeroes",3.71096478100369e-05
"234","BeActive",3.68801755961289e-05
"235","chloroquine",3.68402673850145e-05
"236","UN",3.67105656988925e-05
"237","Easter2020",3.6635737803053e-05
"238","MentalHealth",3.63464032724733e-05
"239","Cov",3.6341414746084e-05
"240","TrumpLiesPeopleDie",3.62466327446872e-05
"241","KAG2020",3.62316671655193e-05
"242","truth",3.58974358974359e-05
"243","JNJ",3.58226080015963e-05
"244","Master",3.57577571585354e-05
"245","Crucial",3.57328145265888e-05
"246","2",3.54634341015664e-05
"247","5thApr20",3.53387209418338e-05
"248","Facebook",3.529382420433e-05
"249","CCPs",3.52589045196049e-05
"250","Trump2020",3.49645814626359e-05
"251","ShahRukhKhan",3.48747879876285e-05
"252","WorldHealthDay2020",3.47400977751172e-05
"253","ARDS",3.46253616681632e-05
"254","JammuAndKashmir",3.45106255612092e-05
"255","dogs",3.41514516611793e-05
"256","AkshayKumar",3.40217499750574e-05
"257","Michigan",3.39120023944927e-05
"258","WWG1WGA",3.37274269180884e-05
"259","startups",3.37224383916991e-05
"260","California",3.36176793375237e-05
"261","Betfair",3.34879776514018e-05
"262","Russias",3.34131497555622e-05
"263","Iranian",3.33882071236157e-05
"264","Australia",3.33233562805547e-05
"265","MSM",3.29991020652499e-05
"266","vaccines",3.2804549536067e-05
"267","CARESAct",3.26050084804949e-05
"268","Updates",3.25601117429911e-05
"269","Tcot",3.25002494263195e-05
"270","NATO",3.2345605108251e-05
"271","Covid1",3.23206624763045e-05
"272","Georgia",3.20163623665569e-05
"273","FilmYourHospital",3.16222687818019e-05
"274","nurses",3.12581063553826e-05
"275","PMCares",3.1198244038711e-05
"276","P",3.11084505637035e-05
"277","mask",3.10136685623067e-05
"278","Biden",3.09089095081313e-05
"279","HumanRights",3.08839668761848e-05
"280","opensource",3.04499650803153e-05
"281","disinfectant",3.02753666566896e-05
"282","StayAtHomeAndStaySafe",3.01057567594533e-05
"283","Ccot",2.99760550733313e-05
"284","AWANIpagi",2.98513419135987e-05
"285","hydroxychloriquine",2.96617779108051e-05
"286","PressBriefing",2.96318467524693e-05
"287","SouthAfrica",2.96168811733014e-05
"288","LuzonLockdown",2.96019155941335e-05
"289","Indonesia",2.95071335927367e-05
"290","V",2.94073630649506e-05
"291","Greece",2.92128105357677e-05
"292","Thalapathy",2.8938441584356e-05
"293","9pm9minutes",2.88586251621271e-05
"294","OdishaFights",2.88037513718448e-05
"295","MondayMotivation",2.87688316871196e-05
"296","publichealth",2.87638431607303e-05
"297","Ecuador",2.87438890551731e-05
"298","MND",2.86840267385014e-05
"299","Senegal",2.85493365259902e-05
"300","Americans",2.84296118926469e-05
"301","extubation",2.84246233662576e-05
"302","healthworkers",2.83797266287539e-05
"303","RubyPrincess",2.83747381023646e-05
"304","webinar",2.78160231467624e-05
"305","StayAtHomeSaveLives",2.76364361967475e-05
"306","IndianArmy",2.75815624064651e-05
"307","Bangladesh",2.75266886161828e-05
"308","BMC",2.7481791878679e-05
"309","Texas",2.74019754564502e-05
"310","HealthWorkers",2.72972164022748e-05
"311","NSTnation",2.71126409258705e-05
"312","Ridge",2.71076523994812e-05
"313","Gates",2.71026638730919e-05
"314","St",2.70128703980844e-05
"315","TogetherApart",2.70128703980844e-05
"316","covid19",2.69031228175197e-05
"317","CitiNewsroom",2.68532375536267e-05
"318","Europe",2.67684326050085e-05
"319","Sta",2.67684326050085e-05
"320","SidharthShukla",2.67085702883368e-05
"321","NIH",2.6499052179986e-05
"322","VoteByMail",2.64391898633144e-05
"323","UnitedStates",2.64142472313679e-05
"324","Vaccine",2.63893045994213e-05
"325","AjithKumar",2.63294422827497e-05
"326","PressBreifing",2.62246832285743e-05
"327","Huawei",2.6219694702185e-05
"328","malaria",2.61149356480096e-05
"329","BTSARMY",2.60500848049486e-05
"330","Muslims",2.59602913299411e-05
"331","Watch",2.59004290132695e-05
"332","Assange",2.58804749077123e-05
"333","cybersecurity",2.58405666965978e-05
"334","thiswillpass",2.57407961688117e-05
"335","Chennai",2.57208420632545e-05
"336","T",2.56809338521401e-05
"337","podcast",2.56609797465829e-05
"338","Belgium",2.56410256410256e-05
"339","Mexico",2.56110944826898e-05
"340","Rwanda",2.55612092187968e-05
"341","PopeFrancis",2.55462436396289e-05
"342","StopTheSpread",2.55462436396289e-05
"343","AbbaKyari",2.55063354285144e-05
"344","Trumpdemic",2.54863813229572e-05
"345","Lockdown21",2.53616681632246e-05
"346","Stay",2.53566796368353e-05
"347","FeverDetectionCamera",2.53117828993315e-05
"348","VirusSA",2.51970467923775e-05
"349","cov",2.51022647909807e-05
"350","GetMNDonTheList",2.51022647909807e-05
"351","crisis",2.50274368951412e-05
"352","G20",2.49825401576374e-05
"353","nhs",2.49825401576374e-05
"354","Matterhorn",2.49027237354086e-05
"355","covi",2.48478499451262e-05
"356","facemasks",2.48478499451262e-05
"357","TuesdayThoughts",2.48428614187369e-05
"358","HIV",2.47381023645615e-05
"359","AmericaWorksToge",2.47231367853936e-05
"360","MedicareForAll",2.46882171006685e-05
"361","TrumpVirus",2.45585154145465e-05
"362","LIVE",2.45335727826e-05
"363","Saudi",2.45335727826e-05
"364","Tog",2.44587448867604e-05
"365","Wisconsin",2.44387907812032e-05
"366","EnglishNEWS",2.43789284645316e-05
"367","TabligiHeroes",2.43739399381423e-05
"368","IoT",2.43639628853637e-05
"369","StopKaroNa",2.43440087798064e-05
"370","WhiteHouseBriefing",2.42691808839669e-05
"371","Nurses",2.42342611992417e-05
"372","Indias",2.41494562506236e-05
"373","CA",2.40846054075626e-05
"374","Korea",2.40696398283947e-05
"375","EhsaasEmergencyCash",2.40646513020054e-05
"376","stayathome",2.39449266686621e-05
"377","flattenthecurve",2.39100069839369e-05
"378","Doctors",2.39000299311583e-05
"379","SelfIsolation",2.39000299311583e-05
"380","Taiwans",2.37653397186471e-05
"381","DrFauci",2.37503741394792e-05
"382","art",2.36955003491968e-05
"383","In",2.36855232964182e-05
