"","hashtags","Freq"
"1","China",0.0281463
"2","ー19",0.0123467
"3","BREAKING",0.0108882
"4","1",0.0103299
"5","HongKong",0.0099145
"6","Hydroxychloroquine",0.008409
"7","Chinas",0.0067309
"8","WearAMask",0.0064218
"9","CCP",0.0054355
"10","Covid",0.0054245
"11","TrumpVirus",0.0052926
"12","lockdown",0.0050742
"13","India",0.004662
"14","IndiaFights",0.0035375
"15","SARSCoV2",0.0034342
"16","pandemic",0.0034033
"17","covid",0.0032244
"18","Blood",0.0031959
"19","US",0.003076
"20","Trump",0.002996
"21","HCQ",0.0027884
"22","Virus",0.0027847
"23","SafeHands",0.0025802
"24","Florida",0.0025188
"25","C",0.0024736
"26","StayHome",0.0024295
"27","Texas",0.0022377
"28","Iran",0.002205
"29","Chinese",0.0020193
"30","Marr",0.002014
"31","s",0.0019898
"32","Trump2020",0.0019888
"33","vaccine",0.0019163
"34","auspol",0.0018861
"35","Hongkongers",0.0018223
"36","SocialDistancing",0.0018097
"37","Lockdown",0.0017529
"38","Breaking",0.0017377
"39","Delhi",0.0016615
"40","COV",0.0016526
"41","Pandemic",0.0016503
"42","Pakistan",0.0016348
"43","Arizona",0.0016132
"44","MTVHottest",0.0016017
"45","CO",0.0015932
"46","CDC",0.0015472
"47","UK",0.0015361
"48","Hydroxychloroquineworks",0.0015106
"49","Houston",0.0014814
"50","COVI",0.001469
"51","Uyghur",0.001426
"52","NationalSecurityLaw",0.0013751
"53","TruthWithRahulGandhi",0.0013728
"54","WorldHealthOrganization",0.001366
"55","WearADamnMask",0.0013474
"56","WAYFAIR",0.0013455
"57","Fauci",0.0013435
"58","AmitabhBachchan",0.0013186
"59","Ccot",0.0013141
"60","ExamsInCovidASuicide",0.0013125
"61","JoeBidenJob",0.0013057
"62","SpeakUpForStudents",0.0012847
"63","Hyderabad",0.0012755
"64","USA",0.0012751
"65","WHO",0.001265
"66","cancelcompartmentexam2020",0.0012315
"67","MedicareForAll",0.0012231
"68","WATCH",0.0012135
"69","StaySafe",0.0012105
"70","savegujaratnre",0.001175
"71","2",0.0011711
"72","Tcot",0.0011596
"73","masks",0.0011524
"74","DoctorsDay",0.0011236
"75","StayAtHome",0.0010897
"76","GOYAGIVES",0.001085
"77","MAGA",0.00108
"78","PromoteAYUSHStudents",0.0010673
"79","Taiwan",0.0010643
"80","KAG2020",0.0010623
"81","KAG",0.0010524
"82","postponekcet",0.0010448
"83","mask",0.001029
"84","FakeNews",0.0010197
"85","CCPVirus",0.0010183
"86","SayNoToUGCGuidelines",0.0010158
"87","Uyghurs",0.0010135
"88","YourActionsSaveLives",0.0010095
"89","Russia",0.0010073
"90","NoExamMHRD",0.0010049
"91","MorningJoe",0.0010005
"92","VirusUpdates",0.0009975
"93","Master",0.0009951
"94","FOX35",0.0009935
"95","JoeBiden",0.0009795
"96","postponekcet2020",0.0009648
"97","BlackLivesMatter",0.000961
"98","LISAforBRAWLSTARS",0.0009574
"99","Xinjiang",0.0009568
"100","NoExamUGC",0.000954
"101","FoxAndFriends",0.0009513
"102","TikTok",0.0009461
"103","c",0.0009415
"104","Odisha",0.0009336
"105","NoMasks",0.0009296
"106","ChinaVirus",0.0009293
"107","StudentsLivesMatters",0.0009287
"108","PMQs",0.000918
"109","CPEC",0.0009017
"110","SooraraiPottru",0.0008934
"111","LayZhang",0.0008915
"112","hydroxychloroquine",0.0008852
"113","SouthChinaSea",0.0008768
"114","staysafe",0.0008732
"115","china",0.0008713
"116","RepublicansVirus",0.0008658
"117","LISA",0.0008593
"118","BLM",0.0008578
"119","Scamdemic",0.0008436
"120","RealityWinner",0.0008416
"121","WhiteCoatSummit",0.0008384
"122","giveaway",0.0008369
"123","DonatePlasmaSaveLives",0.0008237
"124","stayhome",0.0008211
"125","Telangana",0.0008193
"126","MaskUp",0.000806
"127","SuriyaBirthdayFestCDP",0.0008016
"128","AtmaNirbharBharat",0.0007999
"129","AI",0.0007981
"130","CNN",0.0007939
"131","NHS",0.0007935
"132","SONA2020",0.0007877
"133","Beijing",0.000786
"134","ExcludedUK",0.0007849
"135","WayV",0.0007838
"136","AishwaryaRaiBachchan",0.0007687
"137","BorisJohnson",0.000764
"138","BARC",0.0007607
"139","UPDATE",0.0007577
"140","Viswasam",0.0007422
"141","AdvanceHBDPawanKalyan",0.0007324
"142","Vs",0.0007308
"143","Tibet",0.0007291
"144","BSNL",0.0007251
"145","Valimai",0.0007231
"146","Theri",0.0007137
"147","HeroesAct",0.0007119
"148","BBNaija",0.0007082
"149","IOTS",0.000706
"150","Gravitas",0.0007058
"151","TheMoreYouKnow",0.0007004
"152","Wuhan",0.0006954
"153","BTSs",0.0006951
"154","GestapoTrump",0.0006951
"155","EndTheNightmare",0.0006903
"156","ConstitutionOver",0.000683
"157","Ohio",0.0006661
"158","BreakingNews",0.0006635
"159","ChineseVirus",0.0006599
"160","Australia",0.0006593
"161","Hydroxyc",0.0006591
"162","OneLoveOneHeart",0.0006569
"163","HongKongs",0.0006494
"164","PPE",0.0006469
"165","H",0.0006285
"166","OANN",0.000626
"167","NEW",0.0006224
"168","UGC",0.0006216
"169","PostponeJEENEETinCovid",0.0006199
"170","WWG1WGA",0.0006175
"171","AndhraPradesh",0.0006122
"172","PostponeJEENEETSept",0.00061
"173","hydroxycholoroquine",0.0006094
"174","TakeResponsibility",0.0006071
"175","DrFraudFauci",0.0006041
"176","HBDRealHeroSonuSood",0.0006041
"177","UGCGuidelines",0.0006027
"178","2800GradePayMphwFhw",0.0006018
"179","Karnataka",0.0005994
"180","TheWeekInTory",0.0005916
"181","LAYonSDC3",0.0005863
"182","Masks",0.0005852
"183","co",0.0005836
"184","ShelterInPlace",0.0005833
"185","StandWithHongKong",0.000583
"186","WeSaluteHealthHeroes",0.0005816
"187","WuhanVirus",0.0005807
"188","XiJinping",0.000576
"189","Covid911",0.0005757
"190","Chennai",0.0005708
"191","BLACKPINK",0.0005693
"192","MaheshBabuBdayCDP",0.0005643
"193","Pune",0.0005621
"194","facemask",0.0005612
"195","AbhishekBachchan",0.0005607
